Squad,CMJump,Bleep_Test,Sprint5m,Body_Fat
Youth,,12.05,1.02,9.6
Youth,,12.01,1.21,15
Youth,50.8,12.08,1.05,12.1
Youth,45.212,13.07,1.1,14
Youth,,11.04,1.1,13
Youth,47.498,14.04,1,11.1
Youth,51.054,13.09,1.1,11
Youth,51.308,12.03,,6.8
Youth,,14,,11.5
Youth,49.784,13.06,1.01,10.8
Youth,,11.03,,17.8
Youth,50.8,12.02,,16
Youth,,12.04,1.05,13
Youth,,,,9.7
Youth,40.132,13.09,1.01,9.5
Youth,47.244,13.09,0.91,9.3
Youth,50.8,16,1.05,10.8
Youth,50.038,14.03,1.08,7.5
Youth,45.72,12.04,1.03,12.5
Youth,,14,1.01,10
Youth,48.514,12.01,0.98,12.6
Youth,58.166,12.04,1.08,7.6
Youth,46.482,14.11,1.05,7.7
Youth,49.022,12,,7.9
Youth,,13.12,1.04,10
Youth,48.26,13.02,1.02,11
Youth,,14.03,1.09,8.5
Youth,44.958,13.09,1.12,12.7
Youth,,,,11
Youth,,13,1.05,8.1
Youth,45.72,13.06,1.13,8
Youth,47.498,14.08,1.13,7.5
Youth,,12.02,1.02,11.7
Youth,49.784,,1.09,10.7
Youth,55.88,,,7.9
Youth,40.64,12,1.19,12.5
Senior,50.038,14.02,1.09,10
Senior,58.42,,,10.3
Senior,,12.05,1.1,5.4
Senior,,14.03,,
Senior,58.166,12,1.06,7.3
Senior,46.482,12.03,1.17,7.9
Senior,,,1.01,8.9
Senior,,13.11,1.2,7.4
Senior,51.308,12.09,1.14,14.5
Senior,59.182,12.02,1.03,6
Senior,58.928,14.03,1.07,9.2
Senior,46.482,,1.06,8.5
Senior,58.674,13.09,0.99,10.3
Senior,56.388,12.03,1.03,12.7
Senior,53.594,15.02,1.09,9.4
Senior,,,1.08,
Senior,49.784,,,8.3
Senior,,,,6.2
Senior,58.674,13.11,1.13,7.4
Senior,65.024,,,9.5
