Controls,Intervention,Log_Walking_Time_Intervention,Log_Walking_Time_Controls
40,450,6.1092475828,3.6888794541
40,36,3.5835189385,3.6888794541
50,75,4.3174881135,3.9120230054
50,45,3.8066624898,3.9120230054
80,50,3.9120230054,4.3820266347
100,30,3.4011973817,4.605170186
35,240,5.4806389233,3.5553480615
105,140,4.9416424226,4.6539603502
50,105,4.6539603502,3.9120230054
40,315,5.7525726388,3.6888794541
70,25,3.2188758249,4.248495242
75,95,4.5538768916,4.3174881135
,25,3.2188758249,
,120,4.7874917428,
